Sure, here is the data from the roadmap traceability table in comma-delimited (CSV) format.

Level 1 ID,Level 2 ID,Level 3 ID,Component,L3 Requirement Type,Capability,Level 3 Requirement name,Level 3 Requirement text,Verification Method,IDE Conops Section References,Source,Modeled ConOps Reference,Build Version,Action
1,1.1,1.1.1-F1,Capability,F,Planning & Collaboration,P&C Capability Provisioning,"""The IDE shall provide Planning and Collaboration capabilities, including toolsets for Wiki and Work/Backlog Management.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,start
1,1.1,1.1.1-F1,Capability,F,Planning & Collaboration,P&C Capability Provisioning,"""The IDE shall provide Planning and Collaboration capabilities, including toolsets for Wiki and Work/Backlog Management.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,complete
1,1.1,1.1.1-F2,Capability,F,Planning & Collaboration,P&C SSO Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.1-F2,Capability,F,Planning & Collaboration,P&C SSO Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.1-F3,Capability,F,Planning & Collaboration,P&C Logging Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.1-F3,Capability,F,Planning & Collaboration,P&C Logging Integration,"The IDE shall integrate the Planning and Collaboration capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.2-F1,Capability,F,Systems Engineering,SE Capability Provisioning,"""The IDE shall provide System Engineering capabilities, including toolsets for Requirements Management and Model-Based Systems Engineering (MBSE).""",Demonstrate,"Sec 2.2",ConOps,,v0.4.0,start
1,1.1,1.1.2-F1,Capability,F,Systems Engineering,SE Capability Provisioning,"""The IDE shall provide System Engineering capabilities, including toolsets for Requirements Management and Model-Based Systems Engineering (MBSE).""",Demonstrate,"Sec 2.2",ConOps,,v0.4.0,complete
1,1.1,1.1.2-F2,Capability,F,Systems Engineering,SE SSO Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,start
1,1.1,1.1.2-F2,Capability,F,Systems Engineering,SE SSO Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,complete
1,1.1,1.1.2-F3,Capability,F,Systems Engineering,SE Logging Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,start
1,1.1,1.1.2-F3,Capability,F,Systems Engineering,SE Logging Integration,"The IDE shall integrate the System Engineering capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.4.0,complete
1,1.1,1.1.2-F4,Capability,F,Systems Engineering,SE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all System Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2, 5.3.1""",ConOps,,v1.1.0,start
1,1.1,1.1.2-F4,Capability,F,Systems Engineering,SE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all System Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2, 5.3.1""",ConOps,,v1.1.0,complete
1,1.1,1.1.3-F1,Capability,F,Software Factory,SWF Capability Provisioning,"""The IDE shall provide a DoD DevSecOps compliant Software Factory (SWF) capability, including toolsets for Version Control, Artifact Control, CI/CD, SAST, and DAST.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,start
1,1.1,1.1.3-F1,Capability,F,Software Factory,SWF Capability Provisioning,"""The IDE shall provide a DoD DevSecOps compliant Software Factory (SWF) capability, including toolsets for Version Control, Artifact Control, CI/CD, SAST, and DAST.""",Demonstrate,"Sec 2.2",ConOps,,v0.3.0,complete
1,1.1,1.1.3-F2,Capability,F,Software Factory,SWF SSO Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.3-F2,Capability,F,Software Factory,SWF SSO Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.3-F3,Capability,F,Software Factory,SWF Logging Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,start
1,1.1,1.1.3-F3,Capability,F,Software Factory,SWF Logging Integration,"The IDE shall integrate the Software Factory capability with the Mandated Shared Service for Centralized Logging and Monitoring.",Test,"""Sec 2.1.2, 2.2""",ConOps,,v0.3.0,complete
1,1.1,1.1.3-F4,Capability,F,Software Factory,SWF IDE Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for 'heavy client' Integrated Development Environments.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v1.1.0,start
1,1.1,1.1.3-F4,Capability,F,Software Factory,SWF IDE Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for 'heavy client' Integrated Development Environments.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v1.1.0,complete
1,1.1,1.1.4-F1,Capability,F,Electrical Engineering,EE Capability Provisioning,"The IDE shall provide an Electrical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,start
1,1.1,1.1.4-F1,Capability,F,Electrical Engineering,EE Capability Provisioning,"The IDE shall provide an Electrical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,complete
1,1.1,1.1.4-F2,Capability,F,Electrical Engineering,EE SSO Integration,"The IDE shall integrate the Electrical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.4-F2,Capability,F,Electrical Engineering,EE SSO Integration,"The IDE shall integrate the Electrical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
1,1.1,1.1.4-F3,Capability,F,Electrical Engineering,EE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Electrical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.4-F3,Capability,F,Electrical Engineering,EE Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Electrical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
1,1.1,1.1.5-F1,Capability,F,Mechanical Engineering,ME Capability Provisioning,"The IDE shall provide a Mechanical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,start
1,1.1,1.1.5-F1,Capability,F,Mechanical Engineering,ME Capability Provisioning,"The IDE shall provide a Mechanical Engineering Design capability.",Demonstrate,"Sec 2.2",ConOps,,v5.0,complete
1,1.1,1.1.5-F2,Capability,F,Mechanical Engineering,ME SSO Integration,"The IDE shall integrate the Mechanical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.5-F2,Capability,F,Mechanical Engineering,ME SSO Integration,"The IDE shall integrate the Mechanical Engineering capability with the Mandated Shared Service for Centralized Authentication and Authorization (SSO).",Test,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
1,1.1,1.1.5-F3,Capability,F,Mechanical Engineering,ME Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Mechanical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,start
1,1.1,1.1.5-F3,Capability,F,Mechanical Engineering,ME Heavy Client Remote Access,"The IDE shall provide the 'Remote Application Access Service' (Sec 2.1.2) for all Mechanical Engineering 'heavy client' applications.",Demonstrate,"""Sec 2.1.2, 2.2""",ConOps,,v5.0,complete
2,2.1,2.1.1-F1,Capability,F,Digital Thread,Digital Thread Synchronization,"The IDE shall provide a 'Digital Thread Management' capability to synchronize data elements between Authoritative Sources of Truth (ASoTs).",Demonstrate,"Sec 2.2",ConOps,,v0.5.0,start
2,2.1,2.1.1-F1,Capability,F,Digital Thread,Digital Thread Synchronization,"The IDE shall provide a 'Digital Thread Management' capability to synchronize data elements between Authoritative Sources of Truth (ASoTs).",Demonstrate,"Sec 2.2",ConOps,,v0.5.0,complete
2,2.1,2.1.1-F2,AI,F,Digital Thread,Digital Thread Knowledge Graph,"""The IDE shall ingest synchronized ASoT data into a 'GraphRAG (Graph) Database' to model relationships between data elements (e.g., Requirement to Work Item to Code Commit).""",Test,"Sec 2.3.1",ConOps,,v0.5.0,start
2,2.1,2.1.1-F2,AI,F,Digital Thread,Digital Thread Knowledge Graph,"""The IDE shall ingest synchronized ASoT data into a 'GraphRAG (Graph) Database' to model relationships between data elements (e.g., Requirement to Work Item to Code Commit).""",Test,"Sec 2.3.1",ConOps,,v3.0,update
2,2.1,2.1.1-F2,AI,F,Digital Thread,Digital Thread Knowledge Graph,"""The IDE shall ingest synchronized ASoT data into a 'GraphRAG (Graph) Database' to model relationships between data elements (e.g., Requirement to Work Item to Code Commit).""",Test,"Sec 2.3.1",ConOps,,v3.0,complete
2,2.1,2.1.1-F3,AI,F,Digital Thread,Digital Thread Relationship Query,"""The IDE shall provide a capability (via the Insights Agent) to query the Digital Thread knowledge graph for complex, multi-domain relationships (e.g., """"Show me all requirements not yet verified by a passing test"""").""",Demonstrate,"""Sec 2.3.1, 5.3.3""",ConOps,,v3.0,start
2,2.1,2.1.1-F3,AI,F,Digital Thread,Digital Thread Relationship Query,"""The IDE shall provide a capability (via the Insights Agent) to query the Digital Thread knowledge graph for complex, multi-domain relationships (e.g., """"Show me all requirements not yet verified by a passing test"""").""",Demonstrate,"""Sec 2.3.1, 5.3.3""",ConOps,,v3.0,complete
2,2.1,2.1.2-F1,SP,F,Platform Monitoring & Admin,Consolidated Log Pipeline,"""The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all platform and application logs, health, performance metrics, and security audit events.""",Test,"""Sec 2.1.2, 3.3.3""",ConOps+SP,,v0.1.0,start
2,2.1,2.1.2-F1,SP,F,Platform Monitoring & Admin,Consolidated Log Pipeline,"""The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all platform and application logs, health, performance metrics, and security audit events.""",Test,"""Sec 2.1.2, 3.3.3""",ConOps+SP,,v0.1.0,complete
2,2.1,2.1.2-F2,SP,F,Platform Monitoring & Admin,Health & Performance Dashboard,"""The IDE shall provide a 'Centralized Health Dashboard' (Local Admin Tool) to display real-time health, performance, and compliance status of all platform and application components.""",Demonstrate,"Sec 3.3.3",ConOps,,v1.0.0,start
2,2.1,2.1.2-F2,SP,F,Platform Monitoring & Admin,Health & Performance Dashboard,"""The IDE shall provide a 'Centralized Health Dashboard' (Local Admin Tool) to display real-time health, performance, and compliance status of all platform and application components.""",Demonstrate,"Sec 3.3.3",ConOps,,v1.0.0,complete
2,2.1,2.1.2-F3,SP,F,Platform Monitoring & Admin,Security Audit Dashboard,"The IDE shall provide a 'Local Security Dashboard' (Local Admin Tool) to allow the Local Program Cyber Engineer to review compliance status and security audit logs.",Demonstrate,"Sec 3.3.3",ConOps,,v1.0.0,start
2,2.1,2.1.2-F3,SP,F,Platform Monitoring & Admin,Security Audit Dashboard,"The IDE shall provide a 'Local Security Dashboard' (Local Admin Tool) to allow the Local Program Cyber Engineer to review compliance status and security audit logs.",Demonstrate,"Sec 3.3.3",ConOps,,v1.0.0,complete
2,2.1,2.1.2-F4,SP,F,Platform Monitoring & Admin,L3 Log Bundler Tool,"""The IDE shall provide a 'Log Bundler Script' (Local Admin Tool) that collects, scrubs (of sensitive data), and packages all platform and application logs required for L3 support escalation.""",Demonstrate,"""Sec 3.3.3, 5.2.1""",ConOps,,v1.0.0,start
2,2.1,2.1.2-F4,SP,F,Platform Monitoring & Admin,L3 Log Bundler Tool,"""The IDE shall provide a 'Log Bundler Script' (Local Admin Tool) that collects, scrubs (of sensitive data), and packages all platform and application logs required for L3 support escalation.""",Demonstrate,"""Sec 3.3.3, 5.2.1""",ConOps,,v1.0.0,complete
2,2.1,2.1.2-F5,SP,F,Platform Monitoring & Admin,Consolidated Admin Interface,"""The IDE shall provide a 'Consolidated Admin Interface' as a secure, web-based UI to provide a single pane of glass for L1/L2 administrative tasks, including user management, backup status, configuration management, and secrets administration.""",Demonstrate,"Sec 3.3.3",ConOps+SP,,v1.0.0,start
2,2.1,2.1.2-F5,SP,F,Platform Monitoring & Admin,Consolidated Admin Interface,"""The IDE shall provide a 'Consolidated Admin Interface' as a secure, web-based UI to provide a single pane of glass for L1/L2 administrative tasks, including user management, backup status, configuration management, and secrets administration.""",Demonstrate,"Sec 3.3.3",ConOps+SP,,v1.0.0,complete
2,2.1,2.1.2-F6,SP,F,Platform Monitoring & Admin,Admin Interface for Secrets,"The 'Consolidated Admin Interface' shall provide an administrative GUI for the 'Centralized Secrets Management' service.",Demonstrate,"Sec 3.3.3",ConOps,,v1.0.0,start
2,2.1,2.1.2-F6,SP,F,Platform Monitoring & Admin,Admin Interface for Secrets,"The 'Consolidated Admin Interface' shall provide an administrative GUI for the 'Centralized Secrets Management' service.",Demonstrate,"Sec 3.3.3",ConOps,,v1.0.0,complete
2,2.1,2.1.3-F1,AI,F,AI Context,RAG Data Ingestion,"""The IDE shall provide a 'RAG (Vector) Database' capability to ingest and index unstructured 'Customer Data' (e.g., source code, technical manuals, wikis) to provide context for AI Agents.""",Demonstrate,"Sec 2.3.1",ConOps,,v3.0,start
2,2.1,2.1.3-F1,AI,F,AI Context,RAG Data Ingestion,"""The IDE shall provide a 'RAG (Vector) Database' capability to ingest and index unstructured 'Customer Data' (e.g., source code, technical manuals, wikis) to provide context for AI Agents.""",Demonstrate,"Sec 2.3.1",ConOps,,v3.0,complete
2,2.1,2.1.3-F2,AI,F,AI Context,AI Session History Cache,"The IDE shall provide a 'Session Memory / History' cache for each user and agent to maintain conversational context during an interaction.",Test,"Sec 2.3.1",ConOps,,v3.0,start
2,2.1,2.1.3-F2,AI,F,AI Context,AI Session History Cache,"The IDE shall provide a 'Session Memory / History' cache for each user and agent to maintain conversational context during an interaction.",Test,"Sec 2.3.1",ConOps,,v3.0,complete
2,2.2,2.2.1-F1,AI,F,AI Agents & Governance,Generative AI Chatbot,"The IDE shall provide a 'Chatbot' capability to provide a general-purpose generative AI and Natural Language Processing (NLP) interface for end-users.",Demonstrate,"Sec 2.3.1",ConOps,,v3.0,start
2,2.2,2.2.1-F1,AI,F,AI Agents & Governance,Generative AI Chatbot,"The IDE shall provide a 'Chatbot' capability to provide a general-purpose generative AI and Natural Language Processing (NLP) interface for end-users.",Demonstrate,"Sec 2.3.1",ConOps,,v3.0,complete
2,2.2,2.2.1-F2,AI,F,AI Agents & Governance,Agentic Loop Cognitive Engine,"""The IDE shall provide an 'Agentic Loop (Cognitive Engine)' that enables AI agents to decompose goals into multi-step plans, evaluate those plans, and then execute them.""",Demonstrate,"""Sec 2.3.1, 5.3.2""",ConOps,,v3.0,start
2,2.2,2.2.1-F2,AI,F,AI Agents & Governance,Agentic Loop Cognitive Engine,"""The IDE shall provide an 'Agentic Loop (Cognitive Engine)' that enables AI agents to decompose goals into multi-step plans, evaluate those plans, and then execute them.""",Demonstrate,"""Sec 2.3.1, 5.3.2""",ConOps,,v3.0,complete
2,2.2,2.2.1-F3,AI,F,AI Agents & Governance,Developer Agent Persona,"""The IDE shall provide a 'Developer Agent' persona integrated with the Software Factory (SWF) to assist with code generation, debugging, and automated unit test script generation.""",Demonstrate,"""Sec 2.3.1, 5.3.2""",ConOps,,v3.0,start
2,2.2,2.2.1-F3,AI,F,AI Agents & Governance,Developer Agent Persona,"""The IDE shall provide a 'Developer Agent' persona integrated with the Software Factory (SWF) to assist with code generation, debugging, and automated unit test script generation.""",Demonstrate,"""Sec 2.3.1, 5.3.2""",ConOps,,v3.0,complete
2,2.2,2.2.1-F4,AI,F,AI Agents & Governance,Insights Agent Persona,"""The IDE shall provide an 'Insights Agent' persona to perform complex, cross-domain queries of the Digital Thread (GraphRAG) and generate status reports.""",Demonstrate,"""Sec 2.3.1, 5.3.3""",ConOps,,v3.0,start
2,2.2,2.2.1-F4,AI,F,AI Agents & Governance,Insights Agent Persona,"""The IDE shall provide an 'Insights Agent' persona to perform complex, cross-domain queries of the Digital Thread (GraphRAG) and generate status reports.""",Demonstrate,"""Sec 2.3.1, 5.3.3""",ConOps,,v3.0,complete
2,2.2,2.2.1-F5,AI,F,AI Agents & Governance,AIOps Agent Persona,"The IDE shall provide an 'IT Infrastructure Agent (AIOps)' persona integrated with the Centralized Logging service to perform autonomous root cause analysis and generate planned remediation steps.",Demonstrate,"""Sec 2.3.1, 5.3.4""",ConOps,,v3.0,start
2,2.2,2.2.1-F5,AI,F,AI Agents & Governance,AIOps Agent Persona,"The IDE shall provide an 'IT Infrastructure Agent (AIOps)' persona integrated with the Centralized Logging service to perform autonomous root cause analysis and generate planned remediation steps.",Demonstrate,"""Sec 2.3.1, 5.3.4""",ConOps,,v3.0,complete
2,2.2,2.2.1-F6,AI,F,AI Agents & Governance,AI Agent Tool Catalog,"""The IDE shall provide a customer-configurable 'AI Tool Catalog' that defines the specific actions (e.g., CRUD work items, CRUD branches) an AI agent is permitted to execute.""",Demonstrate,"Sec 2.3.1",ConOps,,v3.0,start
2,2.2,2.2.1-F6,AI,F,AI Agents & Governance,AI Agent Tool Catalog,"""The IDE shall provide a customer-configurable 'AI Tool Catalog' that defines the specific actions (e.g., CRUD work items, CRUD branches) an AI agent is permitted to execute.""",Demonstrate,"Sec 2.3.1",ConOps,,v3.0,complete
2,2.2,2.2.1-F7,AI,F,AI Agents & Governance,Local LLM Catalog Support,"""The IDE shall provide a 'Local LLM Catalog' capability to enable AI agent operation in air-gapped environments using self-hosted, containerized Large Language Models.""",Demonstrate,"Sec 2.3.2",ConOps,,v3.0,start
2,2.2,2.2.1-F7,AI,F,AI Agents & Governance,Local LLM Catalog Support,"""The IDE shall provide a 'Local LLM Catalog' capability to enable AI agent operation in air-gapped environments using self-hosted, containerized Large Language Models.""",Demonstrate,"Sec 2.3.2",ConOps,,v3.0,complete
2,2.2,2.2.1-N1,AI,NF,AI Agents & Governance,AI Gateway Policy Enforcement,"""The IDE shall provide an 'AI Gateway' that functions as a mandatory, non-bypassable Policy Enforcement Point (PEP) for all AI-related traffic.""",Test,"""Sec 2.3.2, 4.4.1""",ConOps,,v3.0,start
2,2.2,2.2.1-N1,AI,NF,AI Agents & Governance,AI Gateway Policy Enforcement,"""The IDE shall provide an 'AI Gateway' that functions as a mandatory, non-bypassable Policy Enforcement Point (PEP) for all AI-related traffic.""",Test,"""Sec 2.3.2, 4.4.1""",ConOps,,v3.0,complete
2,2.2,2.2.1-N2,AI,NF,AI Agents & Governance,AI Gateway Auditing,"""The 'AI Gateway' shall create a non-repudiable audit log of all AI agent prompts, plans, and responses for security and compliance review.""",Analysis,"""Sec 2.3.2, 4.4.1""",ConOps,,v3.0,start
2,2.2,2.2.1-N2,AI,NF,AI Agents & Governance,AI Gateway Auditing,"""The 'AI Gateway' shall create a non-repudiable audit log of all AI agent prompts, plans, and responses for security and compliance review.""",Analysis,"""Sec 2.3.2, 4.4.1""",ConOps,,v3.0,complete
2,2.2,2.2.1-N3,AI,NF,AI Agents & Governance,AI Agent Zero-Trust Identity,"""The IDE shall assign each AI agent a distinct, non-human identity (service account) with a unique, role-based access control (RBAC) profile.""",Inspection,"Sec 3.2.1",ConOps,,v3.0,start
2,2.2,2.2.1-N3,AI,NF,AI Agents & Governance,AI Agent Zero-Trust Identity,"""The IDE shall assign each AI agent a distinct, non-human identity (service account) with a unique, role-based access control (RBAC) profile.""",Inspection,"Sec 3.2.1",ConOps,,v3.0,complete
2,2.2,2.2.1-N4,AI,NF,AI Agents & Governance,AI Agent No Standing Privileges,"The IDE shall ensure no AI agent identity has standing privileged access to the platform or its COTS tool APIs.",Inspection,"Sec 3.2.1",ConOps,,v3.0,start
2,2.2,2.2.1-N4,AI,NF,AI Agents & Governance,AI Agent No Standing Privileges,"The IDE shall ensure no AI agent identity has standing privileged access to the platform or its COTS tool APIs.",Inspection,"Sec 3.2.1",ConOps,,v3.0,complete
2,2.2,2.2.1-F8,AI,F,AI Agents & Governance,AI Agent JIT Access,"""The IDE shall provide a Just-in-Time (JIT) 'Lockbox' workflow that, upon Local Admin approval, grants an AI agent temporary, time-bound credentials to execute a specific, pre-approved plan.""",Demonstrate,"""Sec 3.2.1, 5.3.4""",ConOps,,v3.0,start
2,2.2,2.2.1-F8,AI,F,AI Agents & Governance,AI Agent JIT Access,"""The IDE shall provide a Just-in-Time (JIT) 'Lockbox' workflow that, upon Local Admin approval, grants an AI agent temporary, time-bound credentials to execute a specific, pre-approved plan.""",Demonstrate,"""Sec 3.2.1, 5.3.4""",ConOps,,v3.0,complete
2,2.2,2.2.1-N5,AI,NF,AI Agents & Governance,Agent-Generated Code as Untrusted,"The IDE shall be configured to treat all agent-generated code as 'untrusted' Customer Data.",Analysis,"Sec 4.4.2",ConOps,,v3.0,start
2,2.2,2.2.1-N5,AI,NF,AI Agents & Governance,Agent-Generated Code as Untrusted,"The IDE shall be configured to treat all agent-generated code as 'untrusted' Customer Data.",Analysis,"Sec 4.4.2",ConOps,,v3.0,complete
2,2.2,2.2.1-N6,AI,NF,AI Agents & Governance,Agent-Generated Code Compliance Scan,"""The IDE shall be configured to ensure agent-generated code cannot be merged to a protected branch until it has passed all required DevSecOps pipeline security scans (SAST, DAST).""",Test,"Sec 4.4.2",ConOps,,v3.0,start
2,2.2,2.2.1-N6,AI,NF,AI Agents & Governance,Agent-Generated Code Compliance Scan,"""The IDE shall be configured to ensure agent-generated code cannot be merged to a protected branch until it has passed all required DevSecOps pipeline security scans (SAST, DAST).""",Test,"Sec 4.4.2",ConOps,,v3.0,complete
3,3.1,3.1.1-F1,SP,F,Secure Platform Services,K8s Orchestration Platform,"The IDE shall provide a Kubernetes (K8s) orchestrator as the foundational platform for all containerized services and applications.",Inspection,"Sec 2.1.1",ConOps,,v0.1.0,start
3,3.1,3.1.1-F1,SP,F,Secure Platform Services,K8s Orchestration Platform,"The IDE shall provide a Kubernetes (K8s) orchestrator as the foundational platform for all containerized services and applications.",Inspection,"Sec 2.1.1",ConOps,,v0.1.0,complete
3,3.1,3.1.1-N1,SP,NF,Secure Platform Services,Environment Agnostic,"""The IDE platform shall be environment-agnostic, supporting deployment in on-premises, private cloud, public cloud, and fully air-gapped networks.""",Analysis,"""Sec 2.0, 2.5""",ConOps,,v0.1.0,start
3,3.1,3.1.1-N1,SP,NF,Secure Platform Services,Environment Agnostic,"""The IDE platform shall be environment-agnostic, supporting deployment in on-premises, private cloud, public cloud, and fully air-gapped networks.""",Analysis,"""Sec 2.0, 2.5""",ConOps,,v4.0,complete
3,3.1,3.1.1-N2,SP,NF,Secure Platform Services,On-Premises K8s Support,"""The IDE platform shall support automated deployment on a specified K8s distribution (e.g., Linux OpenShift) for both bare metal and hypervisor-based on-premises environments.""",Test,"Sec 2.1.1",ConOps,,v0.2.0,start
3,3.1,3.1.1-N2,SP,NF,Secure Platform Services,On-Premises K8s Support,"""The IDE platform shall support automated deployment on a specified K8s distribution (e.g., Linux OpenShift) for both bare metal and hypervisor-based on-premises environments.""",Test,"Sec 2.1.1",ConOps,,v0.2.0,complete
3,3.1,3.1.1-N3,SP,NF,Secure Platform Services,Cloud K8s Support,"""The IDE platform shall support automated deployment on specified managed Kubernetes services (e.g., EKS, OpenShift) on cloud environments.""",Test,"Sec 2.1.1",ConOps,,v0.1.0,start
3,3.1,3.1.1-N3,SP,NF,Secure Platform Services,Cloud K8s Support,"""The IDE platform shall support automated deployment on specified managed Kubernetes services (e.g., EKS, OpenShift) on cloud environments.""",Test,"Sec 2.1.1",ConOps,,v4.0,update
3,3.1,3.1.1-N3,SP,NF,Secure Platform Services,Cloud K8s Support,"""The IDE platform shall support automated deployment on specified managed Kubernetes services (e.g., EKS, OpenShift) on cloud environments.""",Test,"Sec 2.1.1",ConOps,,v4.0,complete
3,3.1,3.1.1-N4,SP,NF,Secure Platform Services,Greenfield K8s Provisioning,"""The IDE installation process shall provision a new, dedicated K8s cluster and shall not deploy into a pre-existing, non-IDE K8s cluster.""",Test,"Sec 2.1.1",ConOps,,v0.1.0,start
