"Table 1-Level 3 ID","Modeled reference ID","Modeled ConOps Reference","L3/L4 Disposition"
"2.1.2-F5","IDE_1","Sec 3.3.3","L3"
"2.1.2-F1","IDE_2","Sec 2.1.2, 3.3.3","L3"
"2.1.2-F5","IDE_3","Sec 3.3.3","L3"
"U.U.3-F2","IDE_4","Sec 5.1.2","L3"
"3.1.1-F6","IDE_5","Sec 2.1.2","L3"
"U.U.3-F4","IDE_6","Sec 5.1.2","L3"
"U.U.3-F3","IDE_7","Sec 5.1.2","L3"
"U.U.3-F1","IDE_8","Sec 5.1.2","L3"
"U.U.3-F1","IDE_9","Sec 5.1.2","L3"
"2.1.2-F5","IDE_10","Sec 3.3.3","L3"
"3.1.1-N5","IDE_11","Sec 2.1, 4.1","L3"
"2.1.2-F2","IDE_12","Sec 3.3.3","L3"
"2.1.2-F5","IDE_13","Sec 3.3.3","L3"
"3.1.1-N5","IDE_14","Sec 2.1, 4.1","L3"
"2.1.2-F5","IDE_15","Sec 3.3.3","L3"
"2.1.2-F5","IDE_16","Sec 3.3.3","L3"
"U.U.1-F4","IDE_17","Sec 2.4","L3"
"2.1.2-F1","IDE_18","Sec 2.1.2, 3.3.3","L3"
"U.U.1-F1","IDE_19","Sec 2.4","L3"
"2.1.2-F5","IDE_20","Sec 3.3.3","L3"
"2.1.2-F2","IDE_21","Sec 3.3.3","L3"
"3.1.1-N5","IDE_22","Sec 2.1, 4.1","L3"
"2.1.2-F5","IDE_23","Sec 3.3.3","L3"
"3.1.1-N5","IDE_24","Sec 2.1, 4.1","L3"
"3.1.1-F7","IDE_25","Sec 5.4.3","L3"
"2.1.2-F1","IDE_26","Sec 2.1.2, 3.3.3","L3"
"3.1.1-S4","IDE_27","Sec 2.1.2","L3"
"3.1.1-N5","IDE_28","Sec 2.1, 4.1","L3"
"2.1.2-F5","IDE_29","Sec 3.3.3","L3"
"3.1.1-N5","IDE_30","Sec 2.1, 4.1","L3"
"3.1.1-M1","IDE_31","ConOps GAP","L3"
"3.1.1-M1","IDE_32","ConOps GAP","L3"
"3.1.1-M3","IDE_33","ConOps GAP","L3"
"3.1.1-M2","IDE_34","ConOps GAP","L3"
"3.1.1-M1","IDE_35","ConOps GAP","L3"
"2.1.2-F2","IDE_36","Sec 3.3.3","L3"
"2.1.2-F2","IDE_37","Sec 3.3.3","L3"
"2.1.2-F1","IDE_38","Sec 2.1.2, 3.3.3","L3"
"U.U.2-F1","IDE_39","Sec 2.4.1","L3"
"2.1.2-F2","IDE_40","Sec 3.3.3","L3"
"2.1.2-F1","IDE_41","Sec 2.1.2, 3.3.3","L3"
"2.1.2-F2","IDE_42","Sec 3.3.3","L3"
"2.1.2-F2","IDE_43","Sec 3.3.3","L3"
"3.1.1-F2","IDE_44","Sec 2.1.2, 5.1","L3"
"2.1.2-F2","IDE_45","Sec 3.3.3","L3"
"3.1.1-S4","IDE_46","Sec 2.1.2","L3"
"3.1.1-S4","IDE_47","Sec 2.1.2","L3"
"2.1.1-F1","IDE_48","Sec 2.2","L3"
"3.1.1-F9","IDE_49","Sec 2.2.1","L3"
"2.1.1-F2","IDE_50","Sec 2.3.1","L3"
"2.1.2-F2","IDE_51","Sec 3.3.3","L3"
"3.1.1-F8","IDE_52","Sec 2.2.1","L3"
"1.1.1-F1","IDE_53","Sec 2.2","L3"
"1.1.2-F1","IDE_54","Sec 2.2","L3"
"1.1.3-F1","IDE_55","Sec 2.2","L3"
"2.1.2-F3","IDE_56","Sec 3.3.3","L3"
"3.1.1-N5","IDE_57","Sec 2.1, 4.1","L3"
"2.1.2-F2","IDE_58","Sec 3.3.3","L3"
"2.1.2-F2","IDE_59","Sec 3.3.3","L3"
"2.1.2-F1","IDE_60","Sec 2.1.2, 3.3.3","L3"
"2.1.2-F1","IDE_61","Sec 2.1.2, 3.3.3","L3"
"3.1.1-N5","IDE_62","Sec 2.1, 4.1","L3"
"2.1.2-F3","IDE_63","Sec 3.3.3","L3"
"2.1.2-F2","IDE_64","Sec 3.3.3","L3"
"2.1.2-F2","IDE_65","Sec 3.3.3","L3"
"3.1.1-N5","IDE_66","Sec 2.1, 4.1","L3"
"2.1.2-F2","IDE_67","Sec 3.3.3","L3"
"2.1.2-F5","IDE_68","Sec 3.3.3","L3"
"3.1.1-F2","IDE_69","Sec 2.1.2, 5.1","L3"
"3.1.1-F2","IDE_70","Sec 2.1.2, 5.1","L3"
"3.1.1-F2","IDE_71","Sec 2.1.2, 5.1","L3"
"3.1.1-F2","IDE_72","Sec 2.1.2, 5.1","L3"
"3.1.1-F2","IDE_73","Sec 2.1.2, 5.1","L3"
"3.1.1-N9","IDE_74","Sec 3.1.4, 3.3.3","L3"
"2.1.2-F2","IDE_75","Sec 3.3.3","L3"
"3.1.1-N5","IDE_76","Sec 2.1, 4.1","L3"
"2.1.2-F5","IDE_77","Sec 3.3.3","L3"
"2.1.2-F2","IDE_78","Sec 3.3.3","L3"
"2.1.2-F2","IDE_79","Sec 3.3.3","L3"
"2.1.2-F2","IDE_80","Sec 3.3.3","L3"
"3.1.1-N5","IDE_81","Sec 2.1, 4.1","L3"
"2.1.2-F2","IDE_82","Sec 3.3.3","L3"
"U.U.2-F1","IDE_83","Sec 2.4.1","L3"
"3.1.1-F2","IDE_84","Sec 2.1.2, 5.1","L3"
"3.1.1-F2","IDE_85","Sec 2.1.2, 5.1","L3"
"2.1.2-F5","IDE_86","Sec 3.3.3","L3"
"3.1.1-N5","IDE_87","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_88","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_89","Sec 2.1, 4.1","L4"
"3.1.1-S2","IDE_90","Sec 4.1","L4"
"2.1.2-F5","IDE_91","Sec 3.3.3","L4"
"2.1.2-F1","IDE_92","Sec 2.1.2, 3.3.3","L4"
"3.1.1-N5","IDE_93","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_94","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_95","Sec 2.1, 4.1","L4"
"3.1.1-P6","IDE_96","Sec 4.5, 5.2.2","L4"
"3.1.1-N5","IDE_97","Sec 2.1, 4.1","L4"
"2.1.2-F1","IDE_98","Sec 2.1.2, 3.3.3","L4"
"3.1.1-N5","IDE_99","Sec 2.1, 4.1","L4"
"3.1.1-F2","IDE_100","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","IDE_101","Sec 2.1.2, 5.1","L4"
"3.1.1-N5","IDE_102","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_103","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_104","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_105","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_106","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_107","Sec 2.1, 4.1","L4"
"3.1.1-N10","IDE_108","Sec 2.1.2","L4"
"3.1.1-N5","IDE_109","Sec 2.1, 4.1","L4"
"3.1.1-S2","IDE_110","Sec 4.1","L4"
"3.1.1-N5","IDE_111","Sec 2.1, 4.1","L4"
"2.1.2-F1","IDE_112","Sec 2.1.2, 3.3.3","L4"
"3.1.1-N5","IDE_113","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_114","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_115","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_116","Sec 2.1, 4.1","L4"
"2.1.2-F1","IDE_117","Sec 2.1.2, 3.3.3","L4"
"2.1.2-F1","IDE_118","Sec 2.1.2, 3.3.3","L4"
"2.1.2-F1","IDE_119","Sec 2.1.2, 3.3.3","L4"
"2.1.2-F1","IDE_120","Sec 2.1.2, 3.3.3","L4"
"3.1.1-N5","IDE_121","Sec 2.1, 4.1","L4"
"3.1.1-N7","IDE_122","Sec 2.4.1, 4.3.1","L4"
"3.1.1-N7","IDE_123","Sec 2.4.1, 4.3.1","L4"
"3.1.1-N1","IDE_124","Sec 2.0, 2.5","L4"
"3.1.1-N5","IDE_125","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_126","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_127","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_128","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_129","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_130","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_131","Sec 2.1, 4.1","L4"
"3.1.1-F2","IDE_132","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","IDE_133","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","IDE_134","Sec 2.1.2, 5.1","L4"
"3.1.1-N5","IDE_135","Sec 2.1, 4.1","L4"
"3.1.1-F2","IDE_136","Sec 2.1.2, 5.1","L4"
"3.1.1-F5","IDE_137","Sec 2.1.2","L4"
"3.1.1-N5","IDE_138","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_139","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_140","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_141","Sec 2.1, 4.1","L4"
"2.1.2-F5","IDE_142","Sec 3.3.3","L4"
"3.1.1-N5","IDE_143","Sec 2.1, 4.1","L4"
"3.1.1-F5","IDE_144","Sec 2.1.2","L4"
"3.1.1-N5","IDE_145","Sec 2.1, 4.1","L4"
"1.1.3-F1","IDE_146","Sec 2.2","L4"
"3.1.1-N5","IDE_147","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_148","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_149","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_150","Sec 2.1, 4.1","L4"
"3.1.1-N5","IDE_151","Sec 2.1, 4.1","L4"
"3.1.1-N9","IDE_152","Sec 3.1.4, 3.3.3","L4"
"3.1.1-F2","IDE_153","Sec 2.1.2, 5.1","L4"
"3.1.1-N5","IDE_154","Sec 2.1, 4.1","L4"